objectid,temp sort,Note,Christin Newell,title,title,series,date_first_issued,date,date_text,creator,signature,seal,description,misc,publisher,carver,printer,Author (cew new),Editor (cew new),publication_date_messy,impression_quality,colors,condition,genre,format_print,size_image,size_sheet,lit//ref lit,collections,catalog,catalog_altform,catalog_2_orig_ref,location,latitude,longitude,type,format,filename,image_thumb,image_small,artistid (temporarily using for notes-cew),print_link,Notes
ihl-0109,,,,"Drawbridge at Shibaura, No. 6 (芝浦臨海埠頭ハネ上ゲ橋 ・六景 Shibaura hane-age-bashi) ","Drawbridge at Shibaura, No. 6 (芝浦臨海埠頭ハネ上ゲ橋 ・六景 Shibaura hane-age-bashi) ",One Hundred Pictures of Great Tokyo in the Showa Era (昭和大東京百図絵 Showa dai Tokyo hyakuzue),1930-09,1930,September 1930 - no date is present on the print,"Koizumi Kishio 小泉癸巳男
(1893-1945)",Koizumi Kisio (printed in red Roman letters),泉 Izumi lower right of image,"Number six of the one hundred prints that make up the series Showa dai Tokyo hyakuzue (One Hundred Pictures of Great Tokyo During Showa). Koizumi started this series in 1928 and completed it twelve years later in 1940. In March 1930, Tokyo celebrated the official completion of its reconstruction following the 1923 earthquake.  In the days following the earthquake, Shibaura served as a landing place for incoming supplies and as a departure point for refugees.
The artist comments, ""In the morning and evening the drawbridge was in the down position to accommodate freight trains.""",,likely self-published; some sources list publisher as Asahi Press,self-carved,Printer self-printed,,,Sep-30,Impression excellent,Colors excellent,"Condition good - rubbed and thinned area (approx. ¾” in diameter)to right of black freighter; two ¼” tears center of top marking, thinning top edge.",Genre sōsaku hanga,Format horizontal dai ōban,H x W Image 11 1/4 x 14 3/4 x in. (28.6 x 37.5 cm),H x W Paper 11 7/8 x 15 1/2 in. (30.2 x 39.4 cm),"Reference Literature Tokyo: The Imperial Capital Woodblock prints by Koizumi Kishio, 1928-1940, Marianne Lamonaca, The Wolfsonian-Florida International University, 2004, p. 46, plate 4; The Changing City as Depicted in Modern Woodblock Prints - Tokyo in Transition, Edo-Tokyo Museum, 1996, p. 120; Hanga ni miru Tokyo no fukei; Kanto daishinsai kara senzen made, Ota Kuritsu Kyodo Hakubutsukan, 2002, pl. 120, p.31.","Collections This Print The National Museum of Modern Art, Tokyo P00131-049; Wolfsonian-Florida International University TD1993.69.1.02",IHL.0109,IHL.109,IHL Catalog #109,,,,Image;StillImage,image/jpeg,ihl-0109.jpg,ihl-0109_th.jpg,ihl-0109_sm.jpg,ihl_artist_071,https://pages.uoregon.edu/jsmacollections/home/artists/kishio-koizumi-1893-1945-/drawbridge-at-shibaura.html,
ihl-0110,,,CN Complete,Illustration of the Japanese Army on Its Righteous Mission to Chastise China Fights Furiously at Haicheng in the Snow and Ice: The Brave Major General Ōshima at Battle (征清義軍海城雪氷中之激戦大島少将勇壯對敵之圖 Sei Shin gigun Kaijō seppyōchū no gekisen Ōshima shōshō yūsō taiteki no zu),Illustration of the Japanese Army on Its Righteous Mission to Chastise China Fights Furiously at Haicheng in the Snow and Ice: The Brave Major General Ōshima at Battle (征清義軍海城雪氷中之激戦大島少将勇壯對敵之圖 Sei Shin gigun Kaijō seppyōchū no gekisen Ōshima shōshō yūsō taiteki no zu),,1895,1895,March 1895 - as printed in Japanese in left margin,Taguchi Beisaku 田口米作 (1864-1903),米作 Beisaku,作 saku ,"General Oshima Yoshimasa, on horseback, looks over his troops advancing toward the Manchurian battle site.  War correspondent Kubota Beisen (1852-1906) reported:  “At dawn on December 13, [1894] our entire army filed out of camp and marched through Manchuria’s hard ice and packed snow toward Haicheng.  Only three li long (one mile), the trek was extremely difficult over the snow-and-ice covered mountains.  A strong north wind stung both the men and the horses.  As many as twenty-seven horses froze to death this day.” 

The severity of the Manchurian winter forced cessation of military operations and the Japanese First Army encamped.","Note: MFA, Boston translation is “Illustration of the Invasion of China During Which Our Troops Fought Fiercely in Ice and Snow at Haicheng and Major-General Ōshima Bravely Faced the Enemy"" and RISD translates it as ""Illustration of the invasion of China during which our troops fought fiercely in ice and snow and Major General Oshima bravely faced the enemy in ice and snow at Kaesong"". Title in kanji is also seen transcribed as 征清義軍海城雪氷中之激戦大島少将勇壮対敵之図.",Mizuno Asajirō 水野浅治郎 [Marks: pub. ref. 343],彫弥太 hori Yata  [Watanabe Yatarō 渡辺弥太郎 (1850-1913)], 刷中島  suri Nakajima [Nakajima Senseidō?],,,March 1895 (Meiji 28),Impression excellent,Colors excellent,Condition good - Slightly trimmed. The title has been trimmed from the top margin and pasted across central sheet which is not unusual for senso-e. Three sheets united by Japanese album backing paper. Vertical centerfold in middle sheet. Minor marks and flaws.,"Genre nishiki-e, senso-e",Format vertical ōban triptych,,H x W Paper 13 3/4 x 9 1/8 in. (34.9 x 23.2 cm) each sheet,"Literature Impressions of the Front: Woodcuts of the Sino-Japanese War, Okamoto, Shumpei, Philadelphia Museum of Art, 1983, pg. 31, pl. 41","Collections This Print Smithsonian National Museum of Asian Art S2003.8.56; Museum of Fine Arts, Boston: Jean S. and Frederic A. Sharf Collection 2000.52; Philadelphia Museum of Art 1976-75-9; Rhode Island School of Design Museum 1997.90.1; Ackland Art Museum University of North Carolina 2014.40.56a-c",IHL.0110,IHL.110,IHL Catalog #110,,,,Image;StillImage,image/jpeg,ihl-0110.jpg,ihl-0110_th.jpg,ihl-0110_sm.jpg,ihl_artist_177,https://www.myjapanesehanga.com/home/artists/taguchi-beisaku-1864-1903-/the-japanese-army-on-its-righteou-29eb0cd5dc36ff24.html,
ihl-0111,,,CN Complete,Tea House at Imadobashi - (after a design by Kiyochika),Tea House at Imadobashi - (after a design by Kiyochika),,1930,1930,c. 1930s (after an original design of c. 1877),Kobayashi Kiyochika 小林清親 (1847-1915) - after the artist,"清親 Kiyochika -  as with many of the other Shima Art Company prints, the signatures of earlier well-known artists were displayed on their prints simply in an attempt to ""enhance"" their value to print collectors.",no artist seal,"This print  was published by the Shima Art Company and is one of 10 designs by Kiyochika or “after Kiyochika” published by Shima Between 1930 to 1940.  The design was originally done by Kiyochika for a c. 1877 print titled ""Rest House under the Moonlight at Imadobashi."" A small format version of the Shima issued print is also in this collection. (See IHL Cat. #172.)
",Provenance - Robert O. Muller collection,"Shima Art Company, red seal of publisher Shima Art Company under Kiyochika signature, (possibly printed by the publishing house Daikokuya in Tokyo)",,,,,c. 1930s (after an original design of c. 1877),Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format horizontal ōban ,H x W Image 10 x 15 in. (25.4 x 38.1 cm) ,H x W Paper 10 x 15 in. (25.4 x 38.1 cm),,,IHL.0111,IHL.111,IHL Catalog #111 and #172,,,,Image;StillImage,image/jpeg,ihl-0111.jpg,ihl-0111_th.jpg,ihl-0111_sm.jpg,ihl_artist_067,https://www.myjapanesehanga.com/home/artists/kiyochika-kobayashi-1847-1915-/tea-house-at-imadobashi-after-kiyochika-.html,
ihl-0112,,,,"Hirakawa Gate in the Spring Rain, No. 77 (春雨降る平川門・七十七景  Dai nana-ju-nana kei, Harusame furu Hirakawa-mon)","Hirakawa Gate in the Spring Rain, No. 77 (春雨降る平川門・七十七景  Dai nana-ju-nana kei, Harusame furu Hirakawa-mon)",One Hundred Pictures of Great Tokyo in the Showa Era (昭和大東京百図絵 Showa dai Tokyo hyakuzue),1936-04,1936,April 1936 - 夫拾壱年四月作 as printed in right margin,"Koizumi Kishio 小泉癸巳男
(1893-1945)",Koizumi Kisio (printed in red Roman letters),泉 Izumi lower left of image,"Number seventy-seven of the one hundred prints that make up the series Showa dai Tokyo hyakuzue (One Hundred Pictures of Great Tokyo During Showa).  Koizumi started this series in 1928 and completed it twelve years later in 1940. The artist comments, “This gate is the entrance to the Imperial Household Agency. In the rain it somehow conveys the feeling of the Edo period.”",,likely self-published; some sources list publisher as Asahi Press,self-carved,Printer self-printed,,,Apr-36,Impression excellent,Colors excellent,Condition good - bottom right margin damaged and two thin spots on top margin from prior tape or mounting. Several spots of foxing in image and bottom margin.,Genre sōsaku hanga,Format horizontal dai ōban,H x W Image 11 x 15 1/8 x in. (27.9 x 38.4 cm),H x W Paper 11 3/4 x 15 1/2 in. (29.8 x 39.4 cm),"Reference Literature Tokyo: The Imperial Capital Woodblock prints by Koizumi Kishio, 1928-1940, Marianne Lamonaca, The Wolfsonian-Florida International University, 2004, p. 77; Hanga ni miru Tokyo no fukei; Kanto daishinsai kara senzen made, Ota Kuritsu Kyodo Hakubutsukan, 2002, pl. 150, p.36.","Collections This Print The National Museum of Modern Art, Tokyo P00131-033; Wolfsonian-Florida International University TD1993.69.1.23 and TD1993.69.1.24; The British Museum 2004,0417,0.2",IHL.0112,IHL.112,IHL Catalog #112,,,,Image;StillImage,image/jpeg,ihl-0112.jpg,ihl-0112_th.jpg,ihl-0112_sm.jpg,ihl_artist_071,https://pages.uoregon.edu/jsmacollections/home/artists/kishio-koizumi-1893-1945-/hirakawa-gate-in-the-spring-rain.html,
ihl-0114,,,,"Pond at Zenpukuji Temple in Suginami (Scenic Area), No. 79 ( 杉並区・新緑の善福寺池畔 (風致区)・七十九景  ","Pond at Zenpukuji Temple in Suginami (Scenic Area), No. 79 ( 杉並区・新緑の善福寺池畔 (風致区)・七十九景  ",One Hundred Pictures of Great Tokyo in the Showa Era (昭和大東京百図絵 Showa dai Tokyo hyakuzue),1936-06,1936,June 1936 - date does not appear on print,"Koizumi Kishio 小泉癸巳男
(1893-1945)",Koizumi Kisio (printed in red Roman letters),泉 Izumi lower right of image,"Number seventy-nine of the one hundred prints that make up the series Showa dai Tokyo hyakuzue (One Hundred Pictures of Great Tokyo During Showa). Koizumi started this series in 1928 and completed it twelve years later in 1940. The artist comments, ""Tradition relates that the shogun Yoritomo discovered a spring at this site. The municipality has designated this place as an official scenic site.”

 ","Also seen translated as ""New Verdure on Zempukuji Pond""",likely self-published; some sources list publisher as Asahi Press,self-carved,Printer self-printed,,,Jun-36,Impression excellent,Colors excellent,Condition excellent - two pieces mounting tape verso.,Genre sōsaku hanga,Format vertical dai ōban,H x W Image 14 3/4 x 11 in. (37.5 x 27.9 cm),H x W Paper 15 5/8 x 12 1/8 in. (39.7 x 30.8 cm),"Reference Literature Tokyo: The Imperial Capital Woodblock prints by Koizumi Kishio, 1928-1940, Marianne Lamonaca, The Wolfsonian-Florida International University, 2004, p. 98.","Collections This Print The National Museum of Modern Art, Tokyo P00131-037",IHL.0114,IHL.114,IHL Catalog #114,,,,Image;StillImage,image/jpeg,ihl-0114.jpg,ihl-0114_th.jpg,ihl-0114_sm.jpg,ihl_artist_071,https://pages.uoregon.edu/jsmacollections/home/artists/kishio-koizumi-1893-1945-/new-verdure-on-zempukuji-pond.html,
ihl-0115,,,,Hira (平),Hira (平),,1937,1937,1937,Hiratsuka Un'ichi 平塚運一 (1895-1997) - attributed to the artist,,,"This small woodblock print, printed on a thin paper, is from a collection of works titled Kinen Hanga Shu by Hiratsuka and his students published in Showa 12 (1937) in Aichi, Japan.  It is unknown whether this is Hiratsuka's work or the work of one of his students who contributed to this collection.  The central kanji character in the print is ""Hira,"" suggesting it is a work by Hiratsuka.",,self-published,Likely the artist,Printer likely the artist,,,1937,Impression excellent,Colors excellent,Condition excellent,Genre sōsaku hanga,,H x W Image 5 1/4 x 4 7/8 (13.3 x 12.4 cm),H x W Paper 5 1/4 x 4 7/8 (13.3 x 12.4 cm),Reference Literature,Collections This Print,IHL.0115,IHL.115,IHL Catalog #115,,,,Image;StillImage,image/jpeg,ihl-0115.jpg,ihl-0115_th.jpg,ihl-0115_sm.jpg,ihl_artist_030,https://pages.uoregon.edu/jsmacollections/home/artists/hiratsuka-unichi-1895-1997/hira.html,
ihl-0116,,,,"Impression of a Violinist, Portrait of Suwa Nejiko (あるバイオリニストの印象 諏訪根自子像 Aru baiorinisuto no inshō)","Impression of a Violinist, Portrait of Suwa Nejiko (あるバイオリニストの印象 諏訪根自子像 Aru baiorinisuto no inshō)",,1947,1947,"originally 1947, this impression c. 1961 ",Onchi Kōshirō 恩地孝四郎 (1891-1955),not signed,Memorial Edition seal,"An authorized Memorial Edition, printed by Kôichi Hirai in 1961, of the artist's 1947 self-printed original edition.
 
""Impression of a Certain Violinist (Suwa Nejiko, 1947) was  sparked by the artist’s response to a specific event.  The portrait of Miss Suwa is associated with a poem by Onchi.  The Suwa poem, Impression of a Certain Violinist (Aru viorinisto no isho,) is dated October 12, 1947 and describes the specific event that was transmuted into the portrait."" - Elizabeth de Sabato Swinton, The Graphic Art of Onchi Koshiro -Innovation and Tradition, Garland Press, New York, 1986, p. 179-181.","Multiple editions of this print were made both by Onchi and later by his family commissioning a memorial edition from Kôichi Hirai in the mid-1950s (MFA Boston dates the first memorial edition in September 1955) and again in the early 1960s. Also known as ""Impression of a Certain Violinist"". Memorial Edition seal is present on this print.",Artist’s family,,Printer Kōichi Hirai,,,"originally 1947 by the artist this impression c. 1961 (label, see picture above, states ""’61 Memorial Edition Published"")",Impression excellent,Colors excellent,"Condition good - tape removal marks corners verso and bottom edge verso, faint mat toning line, otherwise good state. Print has been archivally matted and framed.",Genre sōsaku hanga,,H x W Image 16 x 12 3/4 in. (40.6 x 32.4 cm),H x W Paper 18 1/4 x 15 1/2 in. (46.4 x 39.4 cm),"Reference Literature George Kuwayama, Contemporary Japanese Prints, Los Angeles County Museum of Art, Aug 29-Oct 22, 1972, p. 22, plate 2; Elizabeth de Sabato Swinton, The Graphic Art of Onchi Koshiro -Innovation and Tradition Garland Press, New York, 1986, figure 114; Oliver Statler, Modern Japanese Prints, An Art Reborn, Charles E. Tuttle Company, 1956, p 28-29, 185-186; Prints of Onchi Koshiro, Keishosha Ltd., 1975. (a limited edition of 170 copies), p.118, fig. 242.","Collections This Print Harvard University Museums 1978.362 (posthumous edition circa 1960); Museum of Fine Arts, Boston 56.329; Philip and Muriel Berman Museum of Art at Ursinus College UC1989.2.032; Honolulu Academy of the Arts 21573 and 21609; Portland Art Museum 210.21",IHL.0116,IHL.116,IHL Catalog #116,,,,Image;StillImage,image/jpeg,ihl-0116.jpg,ihl-0116_th.jpg,ihl-0116_sm.jpg,ihl_artist_141,https://pages.uoregon.edu/jsmacollections/home/artists/onchi-koshiro-1891---1955-/impression-of-a-violinist-portrait-of-suwa-nejiko-.html,
ihl-0130,,,CN Complete,Tea Ceremony Flower Arranging in Turn (茶の湯廻り花 Chanoyu mawaribana),Tea Ceremony Flower Arranging in Turn (茶の湯廻り花 Chanoyu mawaribana),Chiyoda Inner Palace (千代田の大奥 Chiyoda no Ōoku),1895-08,1895,August 1895 (Meiji 28),Yōshū Chikanobu 楊洲周延 (1838-1912),楊洲周延 YōshūChikanobu, ,"This print, from a series of 40 scenes documenting life inside the women quarters of the shogun's palace in Edo prior to the Meiji Restoration in 1868, brings us two of the cultured arts practiced by the court ladies of the palace - flower arranging and tea ceremony.

A number, if not all, of the prints in this popular series went through multiple re-printings. At least three color variants for this print are known. ",,Fukuda Hatsujirō 福田初二郎 [Marks: pub. ref. 070; seal ref. 062],,,,,August 1895 (Meiji 28),Impression excellent,Colors excellent,Condition fair - medium soiling; creasing; backed but not joined; transfer stains; trimmed to image,Genre ukiyo-e,Format vertical ōban triptych,,H x W Paper 13 7/8 x 9 1/8 in. (35.2 x 23.2 cm) each sheet,"Literature Chikanobu – Modernity and Nostalgia in Japanese Prints, Bruce A. Coats, Hotei Publishing, 2006, pl. 102,p. 176.","Collections This Print Scripps College (SC2003.1.15); The Metropolitan Museum of Art JP3539.1, .2; Museum of Fine Arts, Boston (RES.51.84-6); Tokyo Metropolitan Library 618-C001- 004; Ritsumeikan University ARC国会668-00-063 国会668-00-062 国会668-00-061; Rhode Island School of Design Museum 85.197.14A-C",IHL.0130,IHL.130,IHL Catalog #130,,,,Image;StillImage,image/jpeg,ihl-0130.jpg,ihl-0130_th.jpg,ihl-0130_sm.jpg,ihl_artist_247,https://www.myjapanesehanga.com/home/artists/hashimoto-chikanobu-1838-1912/flower-arranging-in-turnfrom-the--8fb48c6bcd97dafa.html,
ihl-0172,,,CN Complete,Tea House at Imadobashi - (after a design by Kiyochika),Tea House at Imadobashi - (after a design by Kiyochika),,1930,1930,c. 1930s (after an original design of c. 1877),Kobayashi Kiyochika 小林清親 (1847-1915) - after the artist,no signature,no artist seal,"A small format version of IHL Cat. #111. The larger format print was published by the Shima Art Company which often applied the signatures of famous artists to works to enhance their appeal.   
",,unknown,,,,,c. 1930s (after an original design of c. 1877),Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,,H x W Image 4 1/2 x 6 3/4 in. (11.4 x 17.1 cm),H x W Paper 4 1/2 x 6 3/4 in. (11.4 x 17.1 cm),,,IHL.0172,IHL.172,IHL Catalog #111 and #172,,,,Image;StillImage,image/jpeg,ihl-0172.jpg,ihl-0172_th.jpg,ihl-0172_sm.jpg,ihl_artist_067,https://www.myjapanesehanga.com/home/artists/kiyochika-kobayashi-1847-1915-/tea-house-at-imadobashi-after-kiyochika-.html,
ihl-0182,,,,Circus No. 7 (サーカス No. 7 Saakasu No. 7),Circus No. 7 (サーカス No. 7 Saakasu No. 7),Circus and Clown,1968,1968,1968,"Hagiwara Hideo 萩原英雄
(1913-2007)","Hideo Hagiwara, pencil signed in English in lower left  ",,"Hagiwara has combined traditional woodblock techniques with a form of woodcut intaglio, which he invented, which creates lines that resemble those found in etching or drypoint. On first glance this joyous scene is very Miro-like.",,self-published,self-carved,Printer self-printed,,,1968,Impression excellent,Colors excellent,Condition good - minor mat line and one foxing spot in upper right about 2” in from corner; some waviness to paper,Genre sōsaku hanga,,H x W Image 9 3/4 x 15 5/8 in. (24.8 x 39.7 cm),H x W Paper 12 x 18 3/4 in. (30.5 x 47.6 cm),Reference Literature,Collections This Print,IHL.0182,IHL.182,IHL Catalog #182,,,,Image;StillImage,image/jpeg,ihl-0182.jpg,ihl-0182_th.jpg,ihl-0182_sm.jpg,ihl_artist_018,https://pages.uoregon.edu/jsmacollections/home/artists/hideo-hagiwara-1913---2007-/circus-no-7.html,
ihl-0187,,,CN Complete,Island of Birds (とりの島),Island of Birds (とりの島),,1972,1972,1972,Tadashige Ono 小野忠重 (1909-90),T. Ono, ,"Birds are a recurring subject in Ono's work, first appearing in the late 1950s. Lawrence Smith describes Ono's style as one which displays ""restraint, sobriety and warm, rich color... His work is much concerned with ordinary townscapes and unpretentious landscape, to all of which he adds the special glow of his rich oil-based pigments.""",attached to a sheet of handmade Japanese paper with written notation of title and edition.,"self-published, edition 3 of 30",,self-printed,,,1972,Impression excellent,Colors excellent,Condition excellent,Genre sosaku hanga,,H x W Paper 6 x 9 1/8 in. (15.2 x 23.2 cm),H x W Paper 6 x 9 1/8 in. (15.2 x 23.2 cm),,,IHL.0187,IHL.187,IHL Catalog #187,,,,Image;StillImage,image/jpeg,ihl-0187.jpg,ihl-0187_th.jpg,ihl-0187_sm.jpg,ihl_artist_176,https://www.myjapanesehanga.com/home/artists/tadashige-ono-1909-90/island-of-birds.html,
ihl-0188,,,CN Complete,Saint,Saint,,1970,1970,1970,Tajima Hiroyuki 田嶋宏行 (1911-1984),Hiroyuki Tajima in English in bottom margin,not sealed,"A luminous look into the mind of a saint?  Typical of Tajima's works which always ""seems to glow from behind, as though it incorporated a fluorescent light shielded by a mysteriously textured fabric."" - Who's Who in Modern Japanese Prints, Frances Blakemore, Weatherhill, 1975, p. 192.",,"self-published, edition 19 of 50",,self-printed,,,1970,Impression excellent,Colors excellent,Condition good - handling creases primarily visible in margins; light soiling; light soiling and toning on verso,Genre sosaku hanga,,H x W Image 22 x 16 5/8 in. (55.9 x 42.3 cm),H x W Paper 25 x 19 5/8 in. (63.5 x 49.9 cm ),"Reference Literature Modern Japanese Prints – A Contemporary Selection, Yuji Abe, C. E. Tuttle Co, 1971, pl. 144.",,IHL.0188,IHL.188,IHL Catalog #188,,,,Image;StillImage,image/jpeg,ihl-0188.jpg,ihl-0188_th.jpg,ihl-0188_sm.jpg,ihl_artist_178,https://www.myjapanesehanga.com/home/artists/tajima-hiroyuki-1911-1984/saint.html,
ihl-0202,,,,Nude No. 6,Nude No. 6,,1952,1952,1952,Yoshida Tōshi 吉田遠志 (1911-1995),Toshi Yoshida in English in bottom margin,no artist seal,"This print is a fine example of the artist's ""white-line style.""",,self-published,,,,,1952,Impression excellent,Colors excellent,Condition excellent,Genre sosaku hanga,Format vertical ōban,H x W Image 14 1/2 x 9 5/8 in. (36.8 x 24.5 cm),H x W Paper 16 1/4 x 11 in. (41.3 x 28 cm ),Reference Literature,Collections This Print Ruth and Sherman Lee Institute for Japanese Art 2003.168; Los Angeles County Museum of Modern Art M.86.147.194,IHL.0202,IHL.202,IHL Catalog #202,,,,Image;StillImage,image/jpeg,ihl-0202.jpg,ihl-0202_th.jpg,ihl-0202_sm.jpg,ihl_artist_246,https://www.myjapanesehanga.com/home/artists/toshi-yoshida-1911-1995-/nude-no-6.html,
ihl-0212,,,,Congratulations on Maritime Security for All Eternity! (海上安全万代寿 or 海上安全萬代寿 Kaijō anzen bandai kotobuki),Congratulations on Maritime Security for All Eternity! (海上安全万代寿 or 海上安全萬代寿 Kaijō anzen bandai kotobuki),,1863-07,1863,"1863 (Bunkyū 3), 7th month文久3年7月 censor's seals left sheet, center sheet, right sheetCensor's Sealaratame, i, shichi亥七改 [Boar 7]",Kawanabe Kyōsai 河鍋暁斎 (1831-1889),,of the Artist no seal,"In the spring of 1863, Shogun Iemochi (ruled 1858–66) was ordered to Kyoto to confer with the court on how and when the ‘foreign barbarians’ should be expelled from the country.  This was the first time in more than 100 years that the shogun had been summoned by the court in this way and was a high point of influence of the ‘revere the Emperor, expel the barbarians’ (sonnō jōi) faction.  Iemochi left Edo with a huge retinue on the thirteenth day of the second month, and arrived at Nijō Castle in Kyoto on the fourth day of the following month.

Kyōsai, like most inhabitants of Edo, would have wished the shogun success in his political mission, upon which rested the future economic prosperity of the city.  In the seventh month, 1863, he designed a triptych showing deities protecting the return of the Shogun to Edo in the battleship Jundō-maru1, an event that had occurred the previous month."," Note: translated as Safety at Sea, Blessings for 10,000 Generations by The British Museum","Daikokuya Kinnosuke 大黒屋金之助, seal reading ツキヂ 大金 Tsukiji, Daikin, [Marks: seal ref. 24-002; pub. ref. 033] ",,,,,"1863 (Bunkyū 3), 7th month文久3年7月 censor's seals left sheet, center sheet, right sheetCensor's Sealaratame, i, shichi亥七改 [Boar 7]",Impression excellent,Colors excellent,Condition good - full size separate sheets; unbacked; minor wrinkling throughout; some staining on center sheet and right portion of right sheet,Genre ukiyo-e,Format vertical ōban triptych,,H x W Paper 14 x 9 3/8 in. (35.6 x 23.8 cm) each sheet,"Reference Literature Demon of Painting: the Art of Kawanabe Kyōsai, Timothy Clark, British Museum Press, 1993, p. 114, fig. 73.1","Collections This Print Museum of Fine Arts, Boston 11.36777a-c; Waseda University Request Number:chi5 3975; The British Museum 1907,0531,0.642.1-3; The Tsubouchi Memorial Theatre Museum of Waseda University 201-1868, 1869, 1870; Smithsonian Institution Freer Sackler Gallery S2003.8.485; National Diet Library 寄別8-4-1-4; Tokyo Museum Collection 92200026-92200028; Mie Prefectural Museum JR0000243;Museum Volkenkunde, Leiden RV-2493-11, 11a, 11b",IHL.0212,IHL.212,IHL Catalog #212,,,,Image;StillImage,image/jpeg,ihl-0212.jpg,ihl-0212_th.jpg,ihl-0212_sm.jpg,ihl_artist_056,https://pages.uoregon.edu/jsmacollections/home/artists/kawanabe-kyosai-1831-1889-/print-congratulations-on-maritime-a2820758fc69eeeb.html,
ihl-0223,,,CN Complete,Welcoming the Triumphant Japanese Army Return from Asan (牙山凱旋歓迎之図 Gazan gaisen kangei no zu),Welcoming the Triumphant Japanese Army Return from Asan (牙山凱旋歓迎之図 Gazan gaisen kangei no zu), ,1894-09,1894,September 1894 (Meiji 27) - as printed within publisher's cartouche,Adachi Ginkō 安達吟光 (active 1874–1897),應需吟光 ōju Ginkō ,Heta no yokozuki seal,"A depiction of the Japanese army generals being welcomed in Seoul after their victory over the Chinese at Asan. Figures identified by labels include Brigade Commander Ôshima, Staff Officer Nagaoka, Minister Ôtori and the Korean King's Messenger Yi Yun-yong (Ri Inyo).",,"Ayabe Hanjirō 綾部 半次郎 [Marks: pub. serf. 024, seal not shown]",杉山 彫栄 Sugiyama Hori Ei,,,,September 1894 (Meiji 27),Impression excellent,Colors excellent,"Condition fair - three panel joined; unbacked; archival paper tape applied verso to strengthen left panel side and bottom margins and to repair tears (up to 1/2"") on left panel; significant wrinkling along edges and to upper left panel","Genre ukiyo-e, senso-e ",Format vertical ōban triptych,,H x W Paper 28 1/2 x 14 3/8 in. (72.4 x 36.5 cm),"Literature Impressions of the Front: Woodcuts of the Sino-Japanese War, Okamoto, Shumpei, Philadelphia Museum of Art, 1983, p. 21, pl.10","Collections This Print Philadelphia Museum of Art 1976-75-60; Art Gallery of Greater Victoria 1995.011.002 a-c; Museum of Fine Arts, Boston 2000.165a-c; MAK Vienna: Austrian Museum of Applied Arts/Contemporary Art K.I. 14514-026a-c; Waseda University Library 05_03893_0001; Shizuoka Prefectural Central Library K915-108-050-024; Princeton University Art Museum 2008-91a-c",IHL.0223,IHL.223,IHL Catalog #223,,,,Image;StillImage,image/jpeg,ihl-0223.jpg,ihl-0223_th.jpg,ihl-0223_sm.jpg,ihl_artist_001,https://pages.uoregon.edu/jsmacollections/home/artists/adachi-ginko-active-1874-1897-/welcoming-the-triumphant-japanese-army.html,
ihl-0229,,,,"Stone Flower: White, Yellow (石の花  白黄 Ishi no hana haku-ō)","Stone Flower: White, Yellow (石の花  白黄 Ishi no hana haku-ō)",Stone Flower (石の花),1960,1960,1960,"Hagiwara Hideo 萩原英雄
(1913-2007)",hideo hagiwara - pencil signed by artist in English in lower left margin,,"The fifteen prints in this series won multiple awards at prestigious international print fairs in the 1960s, placing Hagiwara at the forefront of modern Japanese printmaking. Using his two-sided printing technique, as described in the label for Autumn Color, he created an almost ethereal surface on which to print these translucent petals lying on soft stone.  

",,self-published (3 of 50),self-carved,Printer self-printed,,,1960,Impression excellent,Colors excellent,Condition good - handling creases throughout; light toning,Genre sōsaku hanga,,H x W Image 35 1/4 x 23 1/4 in. (89.5 x 59.1 cm),H x W Paper 39 x 26 1/4 in. (99 x 66.7 cm),"Reference Literature Break with the Past: The Japanese Creative Print Movement, 1910-1960, Roger Keyes, The Fine Arts Museums of San Francisco, 1988, p. 17 checklist #7;Collecting Modern Japanese Prints, Then and Now, Mary and Norman Tolman, Charles E. Tuttle Company, 1994, p. 67, 71, 72, pl. 22;萩原英雄無垢なる世界 : 悠久の夢を追い求める詩人 vol. 1・vol. 2,武蔵野市 1996-1997, pl. 28, p. 37.","Collections This Print Fine Arts Museums of San Francisco (1965.68.83); Kichijoji Art Museum, Tokyo",IHL.0229,IHL.229,IHL Catalog #229,,,,Image;StillImage,image/jpeg,ihl-0229.jpg,ihl-0229_th.jpg,ihl-0229_sm.jpg,ihl_artist_018,https://pages.uoregon.edu/jsmacollections/home/artists/hideo-hagiwara-1913---2007-/stone-flower-white-yellow.html,
