objectid,artistid,publication_date_messy,date,catalog,catalog_2_orig_ref,description,page_header,title,series,creator,signature,seal,date_text,publisher,carver,printer,impression_quality,colors,condition,genre,misc,format_print,size_sheet,size_image,lit//ref lit,collections,location,latitude,longitude,image_small,image_thumb,filename,type,format,print_link
ihl-0685,, 1978-1980.  Published posthumously.  Date of original drawing is unknown.,1978,IHL.0685,IHL Catalog  #685, Evening Cool (Yūsuzumi 夕涼み), Evening Cool (Yūsuzumi 夕涼み), Evening Cool (Yūsuzumi 夕涼み), Takehisa Yumeji moku-hanga shu 竹下夢二木版画集 (A Collection of Takehisa Yumeji's Pictures in Woodblock Print), Takehisa Yumeji (1884-1934), Yumeji,, 1978-1980.  Published posthumously.  Date of original drawing is unknown., Kyoto Hanga-in [Marks 25-485; ref. 284] Shinagawa seal (family name of publisher),"Block is identified in right column as: horii Endō 彫 遠藤(possibly the Endō Kōkyoku according to the article ""Shin Hanga Carvers and Printers"" and its accompanying table on the website http://shinhanga.net/Ac-p/c02.htm)Printer's name is identified in left column as: suru Itōtomo 摺 伊藤智(possibly the printer Itō Tomorō b. 1933 and adopted by the printer Itō Toraji around 1957 according to the article ""Shin Hanga Carvers and Printers"" and its accompanying table on the website http://shinhanga.net/Ac-p/p05.htm)",Printer  see above,Impression  excellent,Colors  excellent,Condition  excellent - one spot of foxing to the left of figure's coiffure,Genre  fukusei hanga,,Format  dai-oban,H x W Paper  19 1/8 x 15 1/4 in. (48.6 x 38.7 cm),H x W Image  15 5/8 x 13 5/8 in. (39.7 x 34.6 cm),Reference Literature,Collections This Print,,,,ihl-0685_sm.jpg,ihl-0685_th.jpg,ihl-0685.jpg,Image;StillImage,image/jpeg,
ihl-0686,, c. 1955,1955,IHL.0686,IHL Catalog  #686,Title  Signs of Spring - Mt. Togakushi 浅春戸隠 Asai Haru Togakushi, Signs of Spring - Mt. Togakushi 浅春戸隠 Asai Haru Togakushi, Signs of Spring - Mt. Togakushi 浅春戸隠 Asai Haru Togakushi,, Maeda Masao (1904-1974),,, c. 1955, self-published,  self-carved,Printer  self-printed,Impression  excellent,Colors  excellent,Condition  excellent - printers marks in margin,Genre  sosaku-hanga (creative print),,Format  dai-oban,H x W Paper  13 1/4 x 18 3/8 in. (33.7 x 46.7 cm),H x W Image  12 x 16 5/8 in. (30.5 x 42.2 cm),Reference Literature,Collections This Print,,,,ihl-0686_sm.jpg,ihl-0686_th.jpg,ihl-0686.jpg,Image;StillImage,image/jpeg,
ihl-0687,, 1970,1970,IHL.0687,IHL Catalog  #687,Title  Nara Shigatsu-dō (April Hall) 奈良 四月堂, Nara Shigatsu-dō (April Hall) 奈良 四月堂, Nara Shigatsu-dō (April Hall) 奈良 四月堂,, Maeda Masao (1904-1974),,, 1970, self-published,  self-carved,Printer printed on verso: Takahashi studio 高橋工房  printed (suru) 摺,Impression  excellent,Colors  excellent,Condition  excellent - several small spots of foxing in margin; minor handling creases,Genre  sosaku-hanga (creative print),,Format  dai-ōban,H x W Paper  20 7/8 x 15 1/2 in. (53 x 39.4 cm),H x W Image  17 3/4 x 13 in. (45.1 x 33 cm),Reference Literature,Collections This Print,,,,ihl-0687_sm.jpg,ihl-0687_th.jpg,ihl-0687.jpg,Image;StillImage,image/jpeg,
ihl-0688,, 1882 (Meiji 15) 御届明治十五年　月　日,1882,IHL.0688,IHL Catalog  #688 -duplicate?,Title (Description)  The seventh month 七月: Suketaya Takasuke IV 助高屋　高助 in the role of Hotoke Gozen 仏御前,(Description)  The seventh month 七月: Suketaya Takasuke IV 助高屋　高助 in the role of Hotoke Gozen 仏御前,(Description)  The seventh month 七月: Suketaya Takasuke IV 助高屋　高助 in the role of Hotoke Gozen 仏御前, Famous Views for the Twelve Months 地名十二ヶ月之内 Chimei junikagetsu, Toyohara Kunichika (1835–1900) and Kawanabe Kyōsai (1831-1889),Toyohara Kunichika hitsu 豊原国周筆 and Kyōsai 暁斎 in inset, red Toshidama beneath Kunichika signature, 1882 (Meiji 15) 御届明治十五年　月　日,"Takegawa Seikichi 武川清吉(family name Takegawa Seikichi; sealed as Takegawa Seikichi from 1876)Left cartouche: Shuppanjin 出版 人 武川清吉 shuppanjin Takegawa Seikichi located at  本銀丁二丁目十二バンチRight cartouche: 画工荒川八十八 gakou (painter) Arakawa Yasohachi (Kunichika's mother's surname, Arakawa, and the artist's given name, Yasohachi, followed by the artist's address) [Marks: pub. ref. 459; seal not shown]",  Hori Gin 彫 銀,,,Colors  excellent,Condition  fair - full margins; unbacked; soiling; extensive wrinkling,Genre  ukiyo-e; yakusha-e,,Format  vertical oban,H x W Paper  14 3/4 x 9 7/8 in. (37.5 x 25.1 cm),H x W Image  13 3/4 x 9 (34.9 x 22.9 cm),"Literature  Time Present and Time Past: Images of a Forgotten Master: Toyohara Kunichika (1835-1900), by Amy Reigle Newland, Hotei Publishing, 1999, fig. 31 p. 48.",Collections This Print  The Tsubouchi Memorial Theatre Museum of Waseda University 201-4560; Tokyo Metropolitan Library 5714-C069,,,,ihl-0688_sm.jpg,ihl-0688_th.jpg,ihl-0688.jpg,Image;StillImage,image/jpeg,
ihl-0689,, 1859,1859,IHL.0689,IHL Catalog  #689," Kokusen'ya, Act 1 国性爺 卷一  Battles of Coxinga"," Kokusen'ya, Act 1 国性爺 卷一  Battles of Coxinga"," Kokusen'ya, Act 1 国性爺 卷一  Battles of Coxinga", N/A, Utagawa Kunikazu (active 1848-1868),left: 国員 Kunikazu (on center panel)right: 国員 Kunikazu (on left panel), not sealed, 1859, unknown - no publisher's marks on print,,,,Colors  excellent,Condition  excellent,Genre  ukiyo-e; yakusha-e,,Format  vertical chuban,H x W Paper   right: 10 x 7 1/16 in. (25.4 x 17.9 cm)   center: 10 x 6 15/16 in. (25.4 x 17.6 cm)  left: 10 x 7 3/16 in. (25.4 x 18.3 cm),H x W Image  right: 10 x 7 1/16 in. (25.4 x 17.9 cm)  center: 10 x 6 15/16 in. (25.4 x 17.6 cm) left: 10 x 7 3/16 in. (25.4 x 18.3 cm),Literature,"Collections This Print  Ruth Chandler Williamson Gallery, Scripps College 2012.14.1",,,,ihl-0689_sm.jpg,ihl-0689_th.jpg,ihl-0689.jpg,Image;StillImage,image/jpeg,
ihl-0690,, September 1894 (Meiji 27),1894,IHL.0690,IHL Catalog  #690, Captain Matsuzaki Fights Bravely in the Battle of Songhwan  成観之激戦松崎大尉奮勇ノ図 Seikan no gekisen Matsuzaki taii funyū no zu, Captain Matsuzaki Fights Bravely in the Battle of Songhwan  成観之激戦松崎大尉奮勇ノ図 Seikan no gekisen Matsuzaki taii funyū no zu, Captain Matsuzaki Fights Bravely in the Battle of Songhwan  成観之激戦松崎大尉奮勇ノ図 Seikan no gekisen Matsuzaki taii funyū no zu,, Migata Toshihide (1863-1925),,, September 1894 (Meiji 27),Sasaki Toyokichi 佐々木豊吉 [Marks pub ref. 450; this seal not shown but the last five characters on the seal are similar to seal 25-209 and read 佐々木豊吉],,,, Colors  excellent,"Condition  good - backing remnants; separate sheets; soiling throughout, primarily along edges",Genre  ukiyo-e; senso-e (Sino-Japanese War),,Format  vertical oban triptych,H x W Paper  13 1/2 x 9 1/8 in. (34.3 x 23.5 cm)  each sheet,,"Literature  Impressions of the Front: Woodcuts of the Sino-Japanese War, Shunpei Okamoto, Philadelphia Museum of Art, 1983, pl.5, p. 20.",Collections This Print  Philadelphia Museum of Art; Art Institute Chicago 1995.206.24,,,,ihl-0690_sm.jpg,ihl-0690_th.jpg,ihl-0690.jpg,Image;StillImage,image/jpeg,
ihl-0691,,Date  1880 明治13年 (Meiji 13),1880,IHL.0691,IHL Catalog  #691,Title,Title,Title, Models of Strange Stories of Japan and China (sometimes seen translated as Comparison of Strange Stories of Japan and China)Wakan Kidan Kagami 和漢奇談鑑,,應需芳年\画 Ōju Yoshitoshi ga with Taiso 大蘇 seal (The Chastity of ShihinoShinasa)應需芳年\画 Ōju Yoshitoshi ga with Taiso 大蘇 seal (The Decorum of Gekiketsu) 應需芳年画 Ōju Yoshitoshi ga [typical on all black and white illustrations],,Date  1880 明治13年 (Meiji 13), Kodama Matashichi 児玉 又七 Address: Tokyo Asakusa Komagatamachi 42-banchi [Marks. pub. ref. 260; seal not shown but similar to 26-135],,,Impression  good,Colors  excellent,Condition  good - light soiling throughout; vertical center fold almost splitting paper; light wrinkling,Genre  ukiyo-e,Miscellaneous  Keyes #435,Format  horizontal chūban (originally issued as a pair on an ōban sheet as shown above),H x W Paper  6 7/8 x 9 1/8 in. (17.3 x 23.2 cm),H x W Image  6 3/8 x 8 1/4 in. (16.2 x 21 cm) not including cartouche in left margin,Reference Literature,Collections This Print Shizuoka Prefectural Central Library K915-108-039-011,,,,ihl-0691_sm.jpg,ihl-0691_th.jpg,ihl-0691.jpg,Image;StillImage,image/jpeg,
ihl-0692,, February 1964,1964,IHL.0692,IHL Catalog  #692,"Title  Numazu: Latticework Tile Wall 沼津 なまこ壁 (full title as given in  Woodblock Prints by Sekino Jun'ichirō: The Fifty-Three Stations of The Tōkaidō, Robert McClain, Visual Arts Resources, Museum of Art, University of Oregon, 1978. - no title is present on this collection's print)"," Numazu: Latticework Tile Wall 沼津 なまこ壁 (full as given in  Woodblock Prints by Sekino Jun'ichirō: The Fifty-Three Stations of The Tōkaidō, Robert McClain, Visual Arts Resources, Museum of Art, University of Oregon, 1978. - no is present on this collection's print)"," Numazu: Latticework Tile Wall 沼津 なまこ壁 (full as given in  Woodblock Prints by Sekino Jun'ichirō: The Fifty-Three Stations of The Tōkaidō, Robert McClain, Visual Arts Resources, Museum of Art, University of Oregon, 1978. - no is present on this collection's print)", Fifty-three Stations of the Tōkaidō (Tōkaidō gojūsan tsugi 東海道五十三次),   Sekino Jun’ichirō (1914 - 1988),  Jun. Sekino in pencil,準 Jun seal, February 1964,  self-published, self-carved,"Printer  Printed by one of Sekino's three chosen printers for this series, either Kobayashi Sōkichi, Yoneda Minoru or Iwase Kōichi",Impression  excellent,Colors  excellent,Condition  good - minor tape remnants 3 places verso; printing/handling creases,Genre  sosaku hanga (creative print),Miscellaneous artist's paper watermark center of bottom margin,Format  dai oban,H x W Paper  16 7/8 x 21 3/4 in (42.9 x 55.2 cm),H x W Image  12 7/8 x 18 in. (32.7 x 45.7 cm),"Reference Literature  Sekino Jun'ichirō hanga sakuhin shū 關野準一郎版画作品集 [Jun-ichiro Sekino The Prints], Sekino, Abe Shuppansha, 1997, plate 332; 53 Stations of the Tokaido, Sekino Jun'ichiro, Summer 1988, Pnina Rosenberg, The Tikotin Museum of Japanese Art Haifa Israel, 1988, pl. 13; Woodblock Prints by Sekino Jun'ichirō: The Fifty-Three Stations of The Tōkaidō, Robert McClain, Visual Arts Resources, Museum of Art, University of Oregon, 1978","Collections This Print  Honolulu Museum of Art 16959; Jordon Schnitzer Museum of Art, University of Oregon 1991:4.13",,,,ihl-0692_sm.jpg,ihl-0692_th.jpg,ihl-0692.jpg,Image;StillImage,image/jpeg,
ihl-0693,, 1993,1993,IHL.0693,IHL Catalog  #693,Title  Strokes 93-7, Strokes 93-7, Strokes 93-7,, Hara Takeshi (b. 1942),,, 1993, Gallery APA,,,,Colors  excellent,Condition  excellent,Genre  contemporary lithograph,,,H x W Paper 20 3/8 x 28 3/4 in. (51.7 x 73 cm),,Reference Literature,Collections This Print,,,,ihl-0693_sm.jpg,ihl-0693_th.jpg,ihl-0693.jpg,Image;StillImage,image/jpeg,
ihl-0694,, 1993,1993,IHL.0694,IHL Catalog  #694,Title  Strokes 93-9, Strokes 93-9, Strokes 93-9,, Hara Takeshi (b. 1942),,, 1993, Gallery APA,,,,Colors  excellent,Condition  excellent,Genre  contemporary lithograph,,,H x W Paper  28 3/4 x 20 3/8 in. (73 x 51.7 cm),,Reference Literature,Collections This Print,,,,ihl-0694_sm.jpg,ihl-0694_th.jpg,ihl-0694.jpg,Image;StillImage,image/jpeg,
ihl-0695,, 1993,1993,IHL.0695,IHL Catalog  #695,Title  Strokes 93-10, Strokes 93-10, Strokes 93-10,, Hara Takeshi (b. 1942),,, 1993, Gallery APA,,,,Colors  excellent,Condition  excellent,Genre  contemporary lithograph,,,H x W Paper  28 3/4 x 20 3/8 in. (73 x 51.7 cm),,Reference Literature,Collections This Print,,,,ihl-0695_sm.jpg,ihl-0695_th.jpg,ihl-0695.jpg,Image;StillImage,image/jpeg,
ihl-0696,, 1993,1993,IHL.0696,IHL Catalog  #696,Title  Strokes 93-11, Strokes 93-11, Strokes 93-11,, Hara Takeshi (b. 1942),,, 1993, Gallery APA,,,,Colors  excellent,Condition  excellent,Genre  contemporary lithograph,,,H x W Paper  28 3/4 x 20 3/8 in. (73 x 51.7 cm),,Reference Literature,Collections This Print,,,,ihl-0696_sm.jpg,ihl-0696_th.jpg,ihl-0696.jpg,Image;StillImage,image/jpeg,
ihl-0697,, 1993,1993,IHL.0697,IHL Catalog  #697,Title  Strokes 93-13, Strokes 93-13, Strokes 93-13,, Hara Takeshi (b. 1942),,, 1993, self-published,,,,Colors  excellent,Condition  excellent,Genre  contemporary lithograph,,,H x W Paper  23 5/8 x 23 5/8 in. (60 x 60 cm),,Reference Literature,Collections This Print,,,,ihl-0697_sm.jpg,ihl-0697_th.jpg,ihl-0697.jpg,Image;StillImage,image/jpeg,
ihl-0698,," undated but likely after 1980 - While Miyashita did not his prints, this print was likely created post-1980 based upon the paper not having the artist's ""TM"" watermark seal on the paper - a hallmark of his pre-1980 prints.",1980,IHL.0698,IHL Catalog  #698,Title  Mountain and Lake  (山と湖 Yama to mizuumi ), Mountain and Lake  (山と湖 Yama to mizuumi ), Mountain and Lake  (山と湖 Yama to mizuumi ),, Miyashita Tokio (1930–2011), Tokio Miyashita in pencil, not sealed," undated but likely after 1980 - While Miyashita did not his prints, this print was likely created post-1980 based upon the paper not having the artist's ""TM"" watermark seal on the paper - a hallmark of his pre-1980 prints.",  artist,,,,Colors  excellent,Condition  good - minor toning in margin; several pin holes in margin (possible drying holes) and slight damage in image area on left from printing process,Genre  sosaku hanga (creative print),,,H x W Paper  13 5/8 x 20 1/8 in. (34.6 x 51.1 cm),H x W Image  9 1/8 x 14 1/4 in. (23.2 x 36.2 cm),Reference Literature,Collections This Print,,,,ihl-0698_sm.jpg,ihl-0698_th.jpg,ihl-0698.jpg,Image;StillImage,image/jpeg,
ihl-0699,, April 1884,1884,IHL.0699,IHL Catalog  #699,Title  Autumn Moon at Tōin (Tōin no aki no tsuki 洞院の秋月), Autumn Moon at Tōin (Tōin no aki no tsuki 洞院の秋月), Autumn Moon at Tōin (Tōin no aki no tsuki 洞院の秋月), Tales of Great Warriors (Bidan mushya eiyū 美談武者英雄)  title for this print is sometimes given as Eight Views from the Tales of Warriors (Bidan Musha Hakkei 美談武者八景雄), Tsukioka Yoshitoshi (1839-1892), Yoshitoshi,artist's rectangular below signature, April 1884,"Katada Chōjirō - 片田 長治郎 [Marks ref. 217, seal not shown]",  not given,,,Colors  excellent,"Condition  fair - trimmed to image, not backed, minor wrinkling; light staining right and middle panels with 1"" wide stain running entire length on right edge of left panel",Genre  ukiyo-e,,Format  horizontal oban triptych,H x W Paper  14 x 9 3/4 in. (35.6 x 23.4 cm) each sheet,,"Reference Literature Yoshitoshi, Masterpieces from the Ed Freis Collection, Chris Uhlenbeck and Amy Reigle Newland, Hotei Publishing, 2011, p. 88, cat. 51a; The Male Journey in Japanese Prints, Roger Keyes, The Fine Arts Museum of San Francisco and The University of California Press, 1989, p. 119, Fig. 170.","Collections This Print  Portland Art Museum 2009.55 (included in an accordion-fold album of ten triptychs titled Bijutsu Nihon rekishi zue, zen (Japanese History Illustrated in Art)",,,,ihl-0699_sm.jpg,ihl-0699_th.jpg,ihl-0699.jpg,Image;StillImage,image/jpeg,
ihl-0700,, 1884 (Meiji 17) 御届明治十七年　月　日,1884,IHL.0700,IHL Catalog  #700,"Title (Description)  Sakaki, No. 10  第十号　榊","(Description)  Sakaki, No. 10  第十号　榊","(Description)  Sakaki, No. 10  第十号　榊", The Fifty-four Chapters [of the Tale of Genji] in Modern Times  Genji gojûyo jô 現時五十四情 (also seen translated as Fifty-four Modern Feelings Matched with the Chapters of the Tale of Genji), Toyohara Kunichika (1835–1900), Toyohara Kunichika hitsu, red Toshidama beneath Kunichika signature, 1884 (Meiji 17) 御届明治十七年　月　日, Takegawa Seikichi (武川清吉) [Marks: ref. 459 - Sawamuraya Seikichi  family name Takegawa Seikichi (sealed as Takegawa Seikichi from 1876)],  Hori Gin 彫銀,,,Colors  excellent,Condition  good - margins partially trimmed; unbacked; minor soiling,Genre  ukiyo-e,,Format  vertical oban,H x W Paper  14 x 9 3/8 in. (35.6 x 23.8 cm),H x W Image  13 1/2 x 9 (34.3 x 22.9 cm),Literature,"Collections This Print  Museum of Fine Arts, Boston 11.16140",,,,ihl-0700_sm.jpg,ihl-0700_th.jpg,ihl-0700.jpg,Image;StillImage,image/jpeg,
ihl-0701,, July 1898 (as printed in left margin 明治卅一年七月 日印刷仝月 日発行 ),1898,IHL.0701,IHL Catalog  #701,Title (Description)  Ichikawa Danjūrō 市川団十郎 as Daikokuya Sōroku 大黒屋惣六  [in the play Go Taiheiki Shiraishi Banashi 碁太平記白石噺],(Description)  Ichikawa Danjūrō 市川団十郎 as Daikokuya Sōroku 大黒屋惣六  [in the play Go Taiheiki Shiraishi Banashi 碁太平記白石噺],(Description)  Ichikawa Danjūrō 市川団十郎 as Daikokuya Sōroku 大黒屋惣六  [in the play Go Taiheiki Shiraishi Banashi 碁太平記白石噺], One Hundred Roles of Ichikawa Danjūro 市川団十郎演芸百番 Ichikawa Danjūrō engei hyakuban, Toyohara Kunichika (1835–1900),国周筆 Kunichika hitsu, Toshidama 年玉印 [see above], July 1898 (as printed in left margin 明治卅一年七月 日印刷仝月 日発行 ),Fukuda Kumajirō [Marks: ref. 071]福田熊次郎 電話浪花 二九四Fukuda Kumajirō Phone naniwa 294,  not identified on print,,,Colors  excellent,"Condition  good - full size, unbacked, minor soiling and wrinkling; 2 holes in paper on wrist of left hand",Genre  ukiyo-e; yakusha-e,,Format  vertical oban,H x W Paper  14 5/8 x 9 7/8 in. (37.1 x 25.1 cm),H x W Image  13 x 8 1/2 in. (33 x 21.6 cm),Literature,Collections This Print  Honolulu Museum of Art 26543; Waseda University Cultural Resource Database 007-1970;  Kyoto University of Art and Design Ukiyo-e Collection 173,,,,ihl-0701_sm.jpg,ihl-0701_th.jpg,ihl-0701.jpg,Image;StillImage,image/jpeg,
ihl-0702,,"is trimmed from this print.Ritsumeikan ARC gives the dates of printing and issuance of their print, as follows: Printed on October 10, 1897 / Issued on October 15, 1897 (Meiji 30)明治三十年十月十日 印刷仝年仝月十五日発行",1897,IHL.0702,IHL Catalog  #702,Title  Dontarō or Dondarō (kyōgen) 鈍太郎 (狂言), Dontarō or Dondarō (kyōgen) 鈍太郎 (狂言), Dontarō or Dondarō (kyōgen) 鈍太郎 (狂言), Nōgakuzue 能樂圖繪 (Illustrations of Noh),   Tsukioka Kōgyo (1869-1927),  Kōgyo 耕 漁," See above.  Red letter in a round shape: 年久 [Toshihisa] Toshihisa , no. 11, p. 170 in The Beauty of Silence: Nō and Nature Prints by Tsukioka Kōgyo (1869-1927), Robert Schaap & J. Thomas Rimer, Hotei Publishing, 2010.","is trimmed from this print.Ritsumeikan ARC gives the dates of printing and issuance of their print, as follows: Printed on October 10, 1897 / Issued on October 15, 1897 (Meiji 30)明治三十年十月十日 印刷仝年仝月十五日発行",  Matsuki Heikichi (Daikokuya Heikichi 大黒屋平) [Marks: pub. ref. 029],,,Impression  excellent,Colors  excellent,"Condition  good - album backing; minor soiling, light toning",Genre  ukiyo-e,,Format  oban yoko-e,H x W Paper  9 1/2 x 14 1/8 in. (24.1 x 35.9 cm),H x W Image  8 7/8 x 13 1/8 in. (22.5 x 33.3 cm) area within printed black border,Reference Literature,"Collections This Print  Art Institute of Chicago 1939.2258.40; Art Research Center, Ritsumeiken University arcUP0882; University of Pittsburgh 20091209-kogyo-0202",,,,ihl-0702_sm.jpg,ihl-0702_th.jpg,ihl-0702.jpg,Image;StillImage,image/jpeg,
ihl-0703,,,,IHL.0703,IHL Catalog #703,,,,,,,,,,,,,,,,,,,,,,,,,ihl-0703_sm.jpg,ihl-0703_th.jpg,ihl-0703.jpg,Image;StillImage,image/jpeg,
ihl-0704,,"is trimmed from this print.Ritsumeikan ARC gives the dates of printing and issuance of their print (arcUP0890), as follows:  明治三十三年一月十日 印刷仝年仝月十五日発行of printing: January 10, 1900 (Meiji 33)of issuance: January 15, 1900",1900,IHL.0704,IHL Catalog  #704,Title  Oba ga sake 伯母ヶ酒 (Kyōgen 狂言) (Auntie's Sake or The Old Woman's Wine), Oba ga sake 伯母ヶ酒 (Kyōgen 狂言) (Auntie's Sake or The Old Woman's Wine), Oba ga sake 伯母ヶ酒 (Kyōgen 狂言) (Auntie's Sake or The Old Woman's Wine), Nōgakuzue 能樂圖繪 (Illustrations of Noh),   Tsukioka Kōgyo (1869-1927),  Kōgyo 耕 漁," See above.  White and red letter in a pair: 耕・漁 [Kō・gyo] Kōgyo , no. 65, p. 172 in The Beauty of Silence: Nō and Nature Prints by Tsukioka Kōgyo (1869-1927), Robert Schaap & J. Thomas Rimer, Hotei Publishing, 2010.","is trimmed from this print.Ritsumeikan ARC gives the dates of printing and issuance of their print (arcUP0890), as follows:  明治三十三年一月十日 印刷仝年仝月十五日発行of printing: January 10, 1900 (Meiji 33)of issuance: January 15, 1900",  Matsuki Heikichi (Daikokuya Heikichi 大黒屋平) [Marks: pub. ref. 029],,,Impression  excellent,Colors  excellent,"Condition  good - album backing; minor soiling, light toning",Genre  ukiyo-e,Miscellaneous  Portland Art Museum loan number L2012.113.3,Format  oban yoko-e,H x W Paper  9 1/2 x 14 1/8 in. (24.1 x 35.9 cm),H x W Image  8 7/8 x 13 1/8 in. (22.5 x 33.3 cm) area within printed black border,Reference Literature,"Collections This Print  Art Institute of Chicago 1939.2258.22; Art Research Center, Ritsumeiken University AcNo.arcUP0890 CoGNo.arcUP0840 AlGNo.arcUP0840; University of Pittsburgh 20091209-kogyo-0210",,,,ihl-0704_sm.jpg,ihl-0704_th.jpg,ihl-0704.jpg,Image;StillImage,image/jpeg,
ihl-0705,,"Printed on March 23, 1896 / Issued on March 27, 1896 明治廿九年三月廿三日 / 印刷仝年三月廿七日出版",1896,IHL.0705,IHL Catalog  #705,Title (Description)  Sarumawashi Kado De no Hitofushi 猿廻しかど出の一諷,(Description)  Sarumawashi Kado De no Hitofushi 猿廻しかど出の一諷,(Description)  Sarumawashi Kado De no Hitofushi 猿廻しかど出の一諷,, Toyohara Kunichika (1835–1900),,,"Printed on March 23, 1896 / Issued on March 27, 1896 明治廿九年三月廿三日 / 印刷仝年三月廿七日出版",Fukuda Kumajirō 福田熊次郎; Address Nihobahsi-ku Hasegawachō 19-banchi [Marks: 30-046; pub. ref. 071], unknown,,,Colors  excellent,Condition  good - backed with heavy album paper; minor soiling,Genre  ukiyo-e; yakusha-e,,Format  vertical oban triptych,H x W Paper  13 5/8 x 9 3/8 in. (34.6 x 23.8 cm) each sheet,,Literature,"Collections This Print  The Tsubouchi Memorial Theatre Museum of Waseda University 007-0623, 0624, 0625",,,,ihl-0705_sm.jpg,ihl-0705_th.jpg,ihl-0705.jpg,Image;StillImage,image/jpeg,
ihl-0706,, 1925-1930,1925,IHL.0706,IHL Catalog  #706,Title  Fujidaiko 富士太鼓 (Fuji's Drum), Fujidaiko 富士太鼓 (Fuji's Drum), Fujidaiko 富士太鼓 (Fuji's Drum), Nōga taikan 能画大鑑 (Encyclopedia of Noh Plays or A Great Mirror of Noh Pictures or A Great Collection of Noh Pictures),   Tsukioka Kōgyo (1869-1927),   Kōgyo,  Kōgyo seal, 1925-1930,"  Seibi Shoten (or Seibi Shoin), Tokyo", Uchida Eikichi,Printer  Yoshida Takesaburō,Impression  excellent,Colors  excellent,Condition  good - full size and not bakced; several spots of foxing; light corner folds; light soiling,Genre  ukiyo-e,,Format  oban yoko-e,H x W Paper  10 x 14 1/2 in. (25.4 x 36.8 cm),,Reference Literature,Collections This Print,,,,ihl-0706_sm.jpg,ihl-0706_th.jpg,ihl-0706.jpg,Image;StillImage,image/jpeg,
ihl-0707,, 1925-1930,1925,IHL.0707,IHL Catalog  #707,Title  Himuro 氷室 (The Cavern of Ice), Himuro 氷室 (The Cavern of Ice), Himuro 氷室 (The Cavern of Ice), Nōga taikan 能画大鑑 (Encyclopedia of Noh Plays or A Great Mirror of Noh Pictures or A Great Collection of Noh Pictures),   Tsukioka Kōgyo (1869-1927),   Kōgyo,Kōgyo seal, 1925-1930,"  Seibi Shoten (or Seibi Shoin), Tokyo", Uchida Eikichi,Printer  Yoshida Takesaburō,Impression  excellent,Colors  excellent,Condition  excellent - full size and not backed; several spots of foxing,Genre  ukiyo-e,,Format  oban yoko-e,H x W Paper  10 x 14 1/2 in. (25.4 x 36.8 cm),,Reference Literature,Collections This Print,,,,ihl-0707_sm.jpg,ihl-0707_th.jpg,ihl-0707.jpg,Image;StillImage,image/jpeg,
ihl-0708,, 1930,1930,IHL.0708,IHL Catalog  #708,Title  Jinen Koji  自然居士 (Jinen the Lay Monk), Jinen Koji  自然居士 (Jinen the Lay Monk), Jinen Koji  自然居士 (Jinen the Lay Monk), Nōga taikan (Encyclopedia of Noh Plays),   Matsuno Sōfū (1899-1963),   Sōfū,Sōfū, 1930,"  Seibi Shoten, Tokyo", Uchida Eikichi,Printer  Yoshida Takesaburō,Impression  excellent,Colors  excellent,"Condition  fair - numerous spots foxing; 1/4"" tare right corner of top margin; corner folds",Genre  nishiki-e; Nōgaku zue [Noh play picture],,Format  oban yoko-e,H x W Paper  10 x 14 1/2 in. (25.4 x 36.8 cm),,Reference Literature,Collections This Print,,,,ihl-0708_sm.jpg,ihl-0708_th.jpg,ihl-0708.jpg,Image;StillImage,image/jpeg,
ihl-0709,," April 18, 1877",1877,IHL.0709,IHL Catalog  #709, A True Account of the Satsuma Rebellion in Kagoshima 8  Kagoshima-ken Seinan jikki hachi  鹿兒島縣 西南實記 八 [鹿児島県 西南実記 八], A True Account of the Satsuma Rebellion in Kagoshima 8  Kagoshima-ken Seinan jikki hachi  鹿兒島縣 西南實記 八 [鹿児島県 西南実記 八], A True Account of the Satsuma Rebellion in Kagoshima 8  Kagoshima-ken Seinan jikki hachi  鹿兒島縣 西南實記 八 [鹿児島県 西南実記 八],, Utagawa Yoshimine (active c. 1855-1877),,," April 18, 1877", 浅井金治良 Asai Kinjirō [Marks: seal not shown; pub. ref. 018],,,, Colors  good - oxidation of orange pigment,Condition  good- full-size and unbacked; minor wrinkling,Genre  nishiki-e shinbun,,Format  horizontal ōban,H x W Paper   9 7/8 x 14 5/16 in. (25.1 x 36.4 cm),H x W Image  9 7/8 x 13 7/8 in. (25.1 x 35.2 cm),Literature,Collections This Print,,,,ihl-0709_sm.jpg,ihl-0709_th.jpg,ihl-0709.jpg,Image;StillImage,image/jpeg,
