objectid,temp sort,Note,Christin Newell,page_header,title,series,date_first_issued (cew new),date,date_text,creator,signature,seal,description,misc,publisher,carver,printer,Author (cew new),Editor (cew new),publication_date_messy,impression_quality,colors,condition,genre,format_print,size_image,size_sheet,lit//ref lit,collections,catalog,catalog_altform,catalog_2_orig_ref,location,latitude,longitude,type,format,filename,image_thumb,artistid (temporarily using for notes-cew),image_small,print_link
ihl-0044,,,CN Complete,Tearing Weeds Out In Pekin Pekin no tsumikusa 北京の摘草,Tearing Weeds Out In Pekin (北京の摘草 Pekin no tsumikusa),"Long Live Japan: One Hundred Victories, One Hundred Laughs (日本萬歳 百撰百笑 [日本万歳 百撰百笑] Nihon banzai: Hyakusen hyakushō)",April 1895 (Meiji 28),1895,April 1895 (Meiji 28),Kobayashi Kiyochika 小林清親 (1847-1915),Kiyochika,Kiyochika,"This print is one of fifty prints from the first part of the three part series  One Hundred Victories, One Hundred Laughs.  (Hyakusen hyakushô)  created by the artist  Kobayashi Kiyochika (1847-1915) , the writer  Nishimori Takeki (1861-1923), alias Koppi  Dōjin, and the publisher  Matsuki Heikichi ( 1870-1931). 

In this print, two Japanese soldiers are taking a walk in occupied Beijing. They laugh as they pick sad-faced bracken and horsetail (weak Chinese soldiers) growing around Beijing Castle.  ","Series also seen translated as Long Live Japan! One Hundred Selections, One Hundred Laughs",Matsuki Heikichi (松木平吉) proprietor of Daikokuya,,,,,April 1895 (Meiji 28),Impression excellent,Colors excellent,"Condition good - light soiling throughout; full margins, not backed",Genre ukiyo-e; senso-e (Sino-Japanese War); giga; fūshiga,Format vertical ōban,H x W Image 14 x 9 1/4 in. (35.6 x 23.5 cm),H x W Paper 14 1/2 x 9 3/4 in. (36.8 x 24.8 cm),,Collections This Print The Tsubouchi Memorial Theatre Museum of Waseda University 201-1801,IHL.0044,IHL.44,IHL Catalog #44,,,,Image;StillImage,image/jpeg,ihl-0044.jpg,ihl-0044_th.jpg,,ihl-0044_sm.jpg,https://www.myjapanesehanga.com/home/artists/kiyochika-kobayashi-1847-1915-/tearing-weeds-out-in-peking.html
ihl-0045,,,CN Complete,Mice in a Trap Fukuro no nezumi 袋の鼠,Mice in a Trap  (袋の鼠 Fukuro no nezumi),"Long Live Japan: One Hundred Victories, One Hundred Laughs (日本萬歳 百撰百笑 [日本万歳 百撰百笑 Nihon banzai: Hyakusen hyakushō)",April 1895 (Meiji 28),1895,April 1895 (Meiji 28),Kobayashi Kiyochika 小林清親 (1847-1915),Kiyochika,Kiyochika,"This print is one of fifty prints from the first part of the three part series One Hundred Victories, One Hundred Laughs. (Hyakusen hyakushô) created by the artist Kobayashi Kiyochika (1847-1915), the writer Nishimori Takeki (1861-1923), alias Koppi Dōjin, and the publisher Matsuki Heikichi (1870-1931). 

Chinese warships in the form of mice or rats are fleeing into a bag from a Japanese warship in the form of a cat.  When this print was issued in April 1895, China had already signed the Treaty of Shimonoseki ending the war under unfavorable terms.  The bag is a gift bag (noshi) and China will have fill it with the spoils of war.
","Series also seen translated as Long Live Japan! One Hundred Selections, One Hundred Laughs",Matsuki Heikichi (松木平吉) proprietor of Daikokuya,,,,,April 1895 (Meiji 28),Impression excellent,Colors good,"Condition good - light soiling throughout; full margins, not backed",Genre ukiyo-e; senso-e (Sino-Japanese War); giga; fūshiga,Format vertical ōban,H x W Image 14 x 9 1/4 in. (35.6 x 23.5 cm),H x W Paper 14 1/2 x 9 3/4 in. (36.8 x 24.8 cm),,"Collections This Print Library of Congress Prints & Photographs Division FP2-JPD no. 27; National Museum of Japanese History H-22-1-21-10; Honolulu Academy of Arts 2395;Östasiatiska musee (The Museum of Far Eastern Antiquities, Sweden)OM-2010-0018;Five Colleges and Historic Deerfield Museum Consortium AC 2005.177; Princeton University Art Museum 2008-102.36",IHL.0045,IHL.45,IHL Catalog #45,,,,Image;StillImage,image/jpeg,ihl-0045.jpg,ihl-0045_th.jpg,,ihl-0045_sm.jpg,https://www.myjapanesehanga.com/home/artists/kiyochika-kobayashi-1847-1915-/rats-in-a-bag.html
ihl-0046,,,CN Complete,Kabuki Bunraku Puppet,Kabuki Bunraku Puppet,Woodblock Print Supplements to the Complete Works of Chikamatsu (大近松全集 付録木版 Dai Chikamatsu zenshu furoku mokuhan) ,between 1922-1923,1922,between 1922-1923,Nishimura Goun 西村五雲 (1877-1938),Goun saku五雲作,unread red rectangular artist's (see above),"A bunraku puppet in the role of Kongōmaru Terutada (the superhero), in a Shibaraku Interlude.  One of 18 prints published from 1922 to 1923 as part of the celebration of the two-hundredth anniversary of the death of Chikamatsu Monzaemon (1623-1724), perhaps the greatest dramatist in the history of the Japanese theater. Each design illustrates a scene or character from one of Chikamatsu’s famous works.  For more details on this series go to Supplements of the Complete Works of Chikamatsu Monzaemon.",All prints from this series printed on a light tan-colored paper,Dai Chikamatsu zenshū kankōkai大近松全集刊行会 (the Complete Work of Chikamatsu Publishing Association),Yamagishi Kazue 1893-1996,Printer Nishimura Kumakichi,,,between 1922-1923,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format dai-ōban,H x W Image 15 3/8 x 10 3/4 in. (39.1 x 27.3 cm) measurement includes gray border,H x W Paper 17 7/8 x 11 5/8 in. (45.4 x 29.5 cm),,Collections This Print The Tsubouchi Memorial Theatre Museum of Waseda University 201-0392; Smithsonian National Museum of Modern Art S2003.8.1597,IHL.0046,IHL.46,IHL Catalog #46,,,,Image;StillImage,image/jpeg,ihl-0046.jpg,ihl-0046_th.jpg,,ihl-0046_sm.jpg,
ihl-0047,,,CN Complete,The Heroine Koharu in The Love Suicides of AmijimaShinjū ten no amijima no Koharu 「心中天の網島」の小春,The Heroine Koharu in The Love Suicides of Amijima (心中天の網島の小春 Shinjū ten no amijima no Koharu),Woodblock Print Supplements to the Complete Works of Chikamatsu (大近松全集 付録木版 Dai Chikamatsu zenshu furoku mokuhan) ,between 1922-1923,1922,between 1922-1923,Kikuchi Keigetsu 菊池契月 (1879-1955 ),unread,unread red artist's seal,"IHL Catalog #47, #1114
Two impressions, one with the printer's and carver's names impressed on the bottom margin, of the heroine Koharu from the eighteen print set Woodblock Print Supplements to the Complete Works of Chikamatsu, published from 1922 to 1923 as part of the celebration of the two-hundredth anniversary of the death of Chikamatsu Monzaemon (1623-1724), perhaps the greatest dramatist in the history of the Japanese theater. Each design illustrates a scene or character from one of Chikamatsu’s famous works.  For more details on this series go to Woodblock Print Supplements to the Complete Works of Chikamatsu.",All prints from this series printed on a light tan-colored paper,Dai Chikamatsu zenshū kankōkai大近松全集刊行会 (the Complete Work of Chikamatsu Publishing Association),Yamagishi Kazue (1893-1996) - 山岸主計 彫刻 as impressed on the bottom margin of print #1114 as shown below,Printer Nishimura Kumakichi (b. 1862; act. c. 1911-1947) 西村熊吉 手摺 as impressed on the bottom margin of print #1114 as shown above,,,between 1922-1923,Impression excellent,Colors excellent,Condition excellent - some apparent oxidation of pigment on hands and face,Genre shin hanga,Format dai-ōban,H x W Image IHL Cat. #47 and #1114: 15 1/2 x 11 in. (39.4 x 27.9 cm),H x W Paper IHL Cat. #47: 17 x 11 3/8 in. (43.2 x 28.9 cm)IHL Cat. #1114: 16 7/8 x 11 3/16 (42.9,"Reference Literature The Female Image: 20th Century Prints of Japanese Beauties, Amy Reigle Newland and Hamanaka Shinji, Abe Publishing Ltd and Hotei Publishing, 2000, p. 94, pl. 121",Collections This Print The Tsubouchi Memorial Theatre Museum of Waseda University 201-0394,IHL.0047,IHL.47,"IHL Catalog #47, #1114",,,,Image;StillImage,image/jpeg,ihl-0047.jpg,ihl-0047_th.jpg,,ihl-0047_sm.jpg,https://pages.uoregon.edu/jsmacollections/home/artists/kikuchi-keigetsu-1879-1955/the-heroine-koharu-in-the-love-suicides-of-amijima.html
ihl-0048,,,CN Complete,Kabuki Actor with a Sword,Kabuki Actor with a Sword,Woodblock Print Supplements to the Complete Works of Chikamatsu (大近松全集 付録木版 Dai Chikamatsu zenshu furoku mokuhan) ,between 1922-1923,1922,between 1922-1923,Yamaguchi Sōhei 山口草平 (1882-1961),not signed,草平 Sōhei,"Of the eighteen prints in the set Woodblock Print Supplements to the Complete Works of Chikamatsu this is one of the few that has not been associated with a particular work by Chikamatsu. The print's attribution to Yamaguchi Sohei, as stated below, is now generally accepted as correct.

Source: The New Wave: Twentieth-century Japanese Prints from the Robert O. Muller Collection, ed. Amy Reigle Stephens, Bamboo Publishing Ltd. & Hotei-Japanese Prints, p. 168.
This dynamic image was included in a series of twelve prints published around 1923...1 This print has been previously attributed to the writer Morita Sōhie (1881-1949).  However, although Morita Sohei was acquainted with a number of shin hanga artists such as Natori Shunsen, it is doubtful that he himself designed prints.  The style of this print and part of the signature is instead similar to a print by the little-known artist, Yamaguchi Sōhei, entitled Memorial portrait of the actor Nakamura Ganjiro, which was published by the Osaka publisher, Yamagiya, in 1935.  
",All prints from this series printed on a light tan-colored paper,Dai Chikamatsu zenshū kankōkai大近松全集刊行会 (the Complete Work of Chikamatsu Publishing Association),Yamagishi Kazue 1893-1996,Printer Nishimura Kumakichi,,,between 1922-1923,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format dai-ōban,H x W Image 15 1/4 x 10 7/8 in. (38.7 x 27.6 cm) measurement includes gray border,H x W Paper 17 3/4 x 11 1/2 in. (45.1 x 29.2 cm),"Reference Literature The New Wave: Twentieth-century Japanese prints from the Robert O. Muller Collection, Amy Reigle Stephens, Bamboo Publishing Ltd, London & Hotei-Japanese Prints, Leiden, 1993, p. 168, image 207.",Collections This Print The Tsubouchi Memorial Theatre Museum of Waseda University 201-0386 and 201-0387,IHL.0048,IHL.48,IHL Catalog #48,,,,Image;StillImage,image/jpeg,ihl-0048.jpg,ihl-0048_th.jpg,,ihl-0048_sm.jpg,
ihl-0049,,,CN Complete,Lady Hagi with a Tree Branch,Lady Hagi with a Tree Branch,Woodblock Print Supplements to the Complete Works of Chikamatsu (大近松全集 付録木版 Dai Chikamatsu zenshu furoku mokuhan) ,between 1922-1923,1922,between 1922-1923,Ogawa Usen 小川芋銭 (1868-1938),芋銭画Usen ga,unread red artist's seal,"One of 18 prints published from 1922 to 1923 as part of the celebration of the two-hundredth anniversary of the death of Chikamatsu Monzaemon (1623-1724), perhaps the greatest dramatist in the history of the Japanese theater. Each design illustrates a scene or character from one of Chikamatsu’s famous works.  For more details on this series see Woodblock Print Supplements to the Complete Works of Chikamatsu.",All prints from this series printed on a light tan-colored paper,Dai Chikamatsu zenshū kankōkai大近松全集刊行会 (the Complete Work of Chikamatsu Publishing Association),Yamagishi Kazue 1893-1996,Printer Nishimura Kumakichi,,,between 1922-1923,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format dai-ōban,H x W Image 15 1/2 x 11 in. (39.4 x 27.9 cm) measurement includes gray border,H x W Paper 17 x 11 3/8 in. (43.2 x 28.9 cm),,Collections This Print The Tsubouchi Memorial Theatre Museum of Waseda University 201-0388 and 201-0389,IHL.0049,IHL.49,IHL Catalog #49,,,,Image;StillImage,image/jpeg,ihl-0049.jpg,ihl-0049_th.jpg,,ihl-0049_sm.jpg,
ihl-0050,,,CN Complete,A Thick-Skinned Face Atsui tsura no kawa 厚い面の皮,A Thick-Skinned Face (厚い面の皮 Atsui tsura no kawa),"Long Live Japan: One Hundred Victories, One Hundred Laughs (日本萬歳 百撰百笑 [日本万歳 百撰百笑 Nihon banzai: Hyakusen hyakushō)",February 1895 (Meiji 28),1895,February 1895 (Meiji 28),Kobayashi Kiyochika 小林清親 (1847-1915),Kiyochika清親,Suisei 水青 (as shown above),"This print is one of fifty prints from the first part of the three part series One Hundred Victories, One Hundred Laughs. (Hyakusen hyakushô) created by the artist Kobayashi Kiyochika (1847-1915), the writer Nishimori Takeki (1861-1923), alias Koppi Dōjin, and the publisher Matsuki Heikichi (1870-1931).

Source: Kiyochika – Artist of Meiji Japan, Henry D. Smith II, Santa Barbara Museum of Art, 1988, p. 94.
A Thick-Skinned Face plays on the figure of speech that in both Chinese and Japanese means an impudent person; by extension, “to peel off the skin of the face” is to put such a person to shame. ","Series also seen translated as Long Live Japan! One Hundred Selections, One Hundred Laughs",Matsuki Heikichi (松木平吉) proprietor of Daikokuya,,,,,February 1895 (Meiji 28),Impression excellent,Colors excellent,"Condition good - some soiling around margins, not backed, full margins",Genre ukiyo-e; senso-e (Sino-Japanese War); giga; fūshiga,Format vertical ōban,H x W Image 14 x 9 1/4 in. (35.6 x 23.5 cm),H x W Paper 14 1/2 x 9 3/4 in. (36.8 x 24.8 cm),"Literature Kiyochika: Artist of Meiji Japan, Henry D. Smith II, Santa Barbara Museum of Art, 1988, p. 94, pl. 103","Collections This Print Smithsonian National Museum of Asian Art S2003.8.1281; Museum of Fine Arts, Boston 2000.208; Hagi Uragami Museum U01256; The Tsubouchi Memorial Theatre Museum of Waseda University Digital Archives Collection 201-1809; Östasiatiska musee (The Museum of Far Eastern Antiquities, Sweden)OM-2010-0007; Princeton University Art Museum 2008-102.2",IHL.0050,IHL.50,IHL Catalog #50,,,,Image;StillImage,image/jpeg,ihl-0050.jpg,ihl-0050_th.jpg,,ihl-0050_sm.jpg,https://www.myjapanesehanga.com/home/artists/kiyochika-kobayashi-1847-1915-/a-thick-skinned-face.html
ihl-0051,,,CN Complete,Ariko - Sink Beneath the Waves,Ariko - Sink Beneath the Waves (有子),One Hundred Aspects of the Moon (月百姿 Tsuki hyaku sugata ),"Date September 6, 1886 (御届明治十九年九月六日)",1886,"Date September 6, 1886 (御届明治十九年九月六日)",Tsukioka Yoshitoshi 月岡芳年 (1839-1892),Yoshitoshi 芳年,Taiso 大蘇,"Edition a single sheet issue, never bound into an album

Ariko no Naishi (A.D. 829-900), a lady in waiting in the Heian court, is despondent over an unrequited love. As she prepares to jump from the boat and drown herself, she recites the following verse, How hopeless it is; it would be better for me to sink beneath the waves; perhaps then I could see my man from Moon Capital.

Source: Yoshitoshi's One Hundred Aspects of the Moon, John Stevenson, Hotei Publishing, Netherlands 2001.
This is one of the most charming designs of the series. The moon is shown only in reflection -- the printer's execution of this concept is excellent. In addition to wiping away her tears with a poignant gesture, Ariko seems also to be shadingthem from the brilliance of the reflected moonlight. The design was a favorite of the writer and critic Noguchi Yone; in a lecture to the London Japan Society in 1914, he described pasting an impression of this print on a screen and his pleasure whenever he looked at it.

The black of Ariko’s robes has been burnished with a piece of ivory, giving it a shiny finish.  The design on the robe is made up of large wheels and stylized vine leaves, probably morning-glories, in a colorful tie-dyed pattern.  (The wheel, associated with the Buddhist concept of the Wheel of Life, was a common religious motif in Japan; as a means of transport, however, wheels were impractical and little used in Japan’shilly countryside, where objects and people were more usually carried –during the time of Lady Ariko they were most commonly used on the oxcarts of the aristocracy.)  A design of small wheels over waves was popular in the Heian period (794-1185), but the oversize wheels here seem more appropriate for a kimono pattern of the Edo period(1600-1868).  Perhaps a kimono design with waves would have seemed excessive for a print where waves are the most important element of the composition.  Most of the bottom half of the design is devoted to the water, which has the effect of drawing the figure downwards.  The waves are choppy, blown by a cool breeze that, if we stop for a moment, wecan almost feel and hear.

An early, if not first, state of this print.",,Akiyama Buemon (秋山武右エ門) [Marks: seal 26-132; pub. ref. 005],山本刀 Horikō Yamamoto tō ,,,,"Date September 6, 1886 (御届明治十九年九月六日)",Impression excellent,Colors good,"Condition good - untrimmed; some light wrinkling in the upper margin; one inch crease at middle right margin; small stains at middle left bottom margin, and slightly into the image area; minor color fading.",Genre ukiyo-e,Format ōban,H x W Image 13 x 8 3/4 in. (33 x 22.2 cm),H x W Paper 14 x 9 5/8 in. (35.6 x 24.4 cm),"Reference Literature * Yoshitoshi’s One Hundred Aspects of the Moon, John Stevenson, Hotei Publishing, Netherlands 2001","Collections This Print Smithsonian National Museum of Asian Art S2003.8.3032; Weatherspoon Art Museum, UNC, Greensboro 1999.42.1; The British Museum 1906,1220,0.1440; The New York Public Library Humanities and Social Sciences Library / Spencer Collection Digital Image ID: 1269834 Digital Record ID:674341; Yale University Art Gallery 2011.143.1.38; Hagi Yamaguchi Prefectural Museum U01537 and U02564; Tokyo Metropolitan Library 加4722-40; The Tsubouchi Memorial Theatre Museum of Waseda University 201-4454; Ritsumeikan University ARC NDL-541-00-049",IHL.0051,IHL.51,IHL Catalog #51,,,,Image;StillImage,image/jpeg,ihl-0051.jpg,ihl-0051_th.jpg,,ihl-0051_sm.jpg,https://www.myjapanesehanga.com/home/artists/yoshitoshi-tsukioka-1839---1892-/sink-beneath-the-waves.html
ihl-0052,,,CN Complete,Akazome Emon (The Poetess Awaiting Her Lover),Akazome Emon (The Poetess Awaiting Her Lover) (赤染衛門 Akazomemon),One Hundred Aspects of the Moon (つきの百姿 Tsuki hyaku sugata) ,"Date January 6, 1887 (note Stevens shows a question mark next to this date. A further explanation is provided above in the text.)",1887,"Date January 6, 1887 (note Stevens shows a question mark next to this date. A further explanation is provided above in the text.)",Tsukioka Yoshitoshi 月岡芳年 (1839-1892),Yoshitoshi 芳年,Taiso 大蘇,"Akazome Emon (956-1041) was a celebrated woman poet of the Heian court. After a long, sleepless night awaiting the arrival of her lover, she writes, I wish I had gone to bed immediately; but now the night has passed and I watch the moon descend.
 Edition a single sheet issue, not bound into an album.  An early state of the print
An early, if not first, state of this print, with heavy embossing of the white robe.",,Akiyama Buemon (秋山武右エ門) [Marks: seal 26-132; pub. ref. 005],Enkatsu Noguchi,,,,"Date January 6, 1887 (note Stevens shows a question mark next to this date. A further explanation is provided above in the text.)",Impression excellent,Colors excellent,Condition excellent - minor toning and soiling; untrimmed; not backed.,Genre ukiyo-e,Format ōban,H x W Image 12 7/8 x 8 7/8 in. (32.7 x 22.5 cm),H x W Paper 14 5/8 x 9 7/8 in. (37.1 x 25.1 cm),"Reference Literature * Yoshitoshi’s One Hundred Aspects of the Moon, John Stevenson, Hotei Publishing, Netherlands 2001, pl. 44.",Collections This Print Smithsonian National Museum of Asian Art S2003.8.3053; New York Public Library Humanities and Social Sciences Library / Spencer Collection; Yale University Art Gallery 2011.143.1.44; The Tsubouchi Memorial Theatre Museum of Waseda University 201-4483; Ritsumeikan University ARC NDL-541-00-062,IHL.0052,IHL.52,IHL Catalog #52,,,,Image;StillImage,image/jpeg,ihl-0052.jpg,ihl-0052_th.jpg,,ihl-0052_sm.jpg,https://www.myjapanesehanga.com/home/artists/yoshitoshi-tsukioka-1839---1892-/akazome-the-poetess-awaiting-her-lover.html
ihl-0053,,,CN Complete,Mount Otowa Moon - Bright God Tamura(Otowayama no tuski 音羽山月　田村明神),Mount Otowa Moon - Bright God Tamura (音羽山月 田村明神 Otowayama no tuski),One Hundred Aspects of the Moon ( 月百姿 Tsuki hyaku sugata),Date June 1886 (御届明治十九年六月　日),1886,Date June 1886 (御届明治十九年六月　日),Tsukioka Yoshitoshi 月岡芳年 (1839-1892),Yoshitoshi 芳年,Taiso 大蘇,"Based on a scene from a Noh play, three itinerant priests meet a man sweeping fallen cherry petals as they visit Kiyomizu Temple in Kyoto. The man proves to be the spirit of the warrior Tamura Myojin, the deity of the mountain behind the temple.

An early, if not first, state of this print.",,Akiyama Buemon (秋山武右エ門) [Marks: seal 26-132; pub. ref. 005],Yamamoto tō (山本刀) [full name Yamamoto Shinji],,,,Date June 1886 (御届明治十九年六月　日),Impression excellent,Colors excellent,Condition excellent - minor toning and soiling; untrimmed; not backed.,Genre ukiyo-e,Format ōban,H x W Image 13 x 8 3/4 in. (33 x 22.2 cm),H x W Paper 14 5/8 x 9 7/8 in. (37.1 x 25.1 cm),"Reference Literature * Yoshitoshi’s One Hundred Aspects of the Moon, John Stevenson, Hotei Publishing, Netherlands 2001",Collections This Print New York Public Library Humanities and Social Sciences Library / Spencer Collection; Yale University Art Gallery 2011.143.1.35; Uragami Hagi Museum UO1531; Tokyo Metropolitan Library 加4722-71; The Tsubouchi Memorial Theatre Museum of Waseda University 201-4492; Ritsumeikan University ARC NDL-541-00-059,IHL.0053,IHL.53,IHL Catalog #53,,,,Image;StillImage,image/jpeg,ihl-0053.jpg,ihl-0053_th.jpg,,ihl-0053_sm.jpg,https://www.myjapanesehanga.com/home/artists/yoshitoshi-tsukioka-1839---1892-/mount-otowa-moon---bright-god-tamura.html
ihl-0054,,,CN Complete,Rising Moon Over Mount Nanping – Cao Cao (Napeizan Shogetsu - Sōsō 南屏山昇月　曹操),Rising Moon Over Mount Nanping – Cao Cao (南屏山昇月 曹操 Napeizan Shogetsu - Sōsō ),One Hundred Aspects of the Moon ( 月百姿 Tsuki hyaku sugata),Date October 1885 (御届明治十八年十月　日),1885,Date October 1885 (御届明治十八年十月　日),Tsukioka Yoshitoshi 月岡芳年 (1839-1892),Yoshitoshi 芳年,Taiso 大蘇,"On the night before the battle of Zhang Jiang, the Chinese leader Cao Cao (A.D. 155-200) called his generals to his ship for a banquet. As the moon rose, he composed a poem to celebrate their gathering.

An early, if not first, state of this print.",,Akiyama Buemon (秋山武右エ門) [Marks: seal 26-132; pub. ref. 005],Chōkō Noguchi Enkatsu 彫工埜口円活,,,,Date October 1885 (御届明治十八年十月　日),Impression excellent,Colors excellent,Condition excellent - minor overall toning; very minor marks and flaws,Genre ukiyo-e,Format ōban,H x W Image 13 x 8 7/8 in. (33 x 22.5 cm),H x W Paper 14 1/2 x 9 7/8 in. (36.8 x 25.1 cm),"Reference Literature * Yoshitoshi’s One Hundred Aspects of the Moon, John Stevenson, Hotei Publishing, Netherlands 2001, pl. 3.","Collections This Print Yale University Art Gallery 2011.143.1.3; The British Museum 1906,1220,0.1427; Tokyo Metropolitan Library 加4722-5; Hagi Uragami Museum (Yamaguchi, Japan) UO1507; The Tsubouchi Memorial Theatre Museum of Waseda University 201-4491; Ritsumeikan University ARC NDL-541-00-006",IHL.0054,IHL.54,IHL Catalog #54,,,,Image;StillImage,image/jpeg,ihl-0054.jpg,ihl-0054_th.jpg,,ihl-0054_sm.jpg,https://www.myjapanesehanga.com/home/artists/yoshitoshi-tsukioka-1839---1892-/rising-moon-over-mount-nanping-cao-cao.html
ihl-0055,,,CN Complete,Great Torii at Kudan (Kudan dai torii) 九段大鳥居,Great Torii at Kudan (九段大鳥居 Kudan dai torii),Scenes of Last Tokyo (東京回顧図会 Tokyo kaiko zue),Dec-45,1945,Dec-45,Sumio Kawakami 川上澄生 (1895-1972),unsigned,none,"From the series, Tokyo Kaiko Zue (Scenes of Last Tokyo) consisting of 15 designs. This print is one of the designs contributed by Kawakami to the above series. This print is still in the original brown folio with the title attached. Series is also seen translated as Recollections of Tokyo. This print is one of seven new designs created for this series.  Smith points out that six of the prints in this series depicted ""places with serious imperial resonances,"" the six being the Nijubashi Bridge at the Imperial Palace, the Akasaka Palace (residence of the Crown Prince), the Meiji Shrine, the Torii (Gateway) at Kudan, the Gate of the Imperial University (alma mater of the most senior bureaucrats of the militarist era), and the Graveyard of Sengaku-ji, burial place of Japan’s most celebrated paragons of loyalty. ",This print is still in the original brown folio with the title attached. Series is also seen translated as Recollections of Tokyo.,"Fugaku Shuppansha 富岳出版社, Tokyo,Uemura Masurō上村益郎publisher",,Printer Hirai Kōichi平井孝一,,,Dec-45,Impression excellent,Colors excellent,"Condition good - paper lightly toned, a few light brown spots of foxing, tipped to original folder with original label",Genre sōsaku hanga,Format chūban,H x W Image 7 1/2 x 9 1/2 in. (19 x 24.1 cm),H x W Paper 7 3/4 x 10 3/4 in. (19.7 x 27.3 cm),"Reference Literature The Artist's Touch, The Craftsman's Hand: Three Centuries of Japanese Prints from the Portland Art Museum, Maribeth Graybill, Portland Art Museum, Oregon, 2011, p. 297; Terrific Tokyo: A Panorama in Prints from the 1860s to the 1930s, Elizabeth de Sabato Swinton, Worcester Art Museum, 1999. p. 70; Japanese Prints During the Allied Occupation 1945-1952, Lawrence Smith, British Museum Press, 2003, p. 59, figure 43; Modern Japanese Prints: The Twentieth Century, Amanda T. Zehnder, Carnegie Museum of Art, 2009, p. 70.","Collections This Print Los Angeles County Museum of Art M.81.267.24; Museum of Fine Arts Boston 65.1083; The British Museum 1980, 1227, 0.18.5; Carnegie Museum of Art 89.28.709.4; Mead Art Museum at Amherst College 2008.63.5; Portland Art Museum 1996.31.2e; Yokohama Museum of Art 2000-PRJ-002-05",IHL.0055,IHL.55,IHL Catalog #55,,,,Image;StillImage,image/jpeg,ihl-0055.jpg,ihl-0055_th.jpg,,ihl-0055_sm.jpg,https://www.myjapanesehanga.com/home/artists/kawakami-sumio-1895---1972-/torii-at-kudan.html
